INSERT INTO `evaluation`(`user_id`, `evaluation_trp`, `evaluation_receivednum`, `evaluation_receivedvalue`, `evaluation_sentnum`, `evaluation_sentvalue`)
VALUES
                        (1,439,46,161,46,206),
                        (2,22,10,35,10,44),
                        (3,19,9,31,9,40),
                        (4,15,8,28,8,35),
                        (5,30,11,38,11,49),
                        (6,0,0,0,0,0),
                        (7,838,64,226,64,285),
                        (8,390,44,155,44,196),
                        (9,7,5,17,5,22),
                        (10,99,22,78,22,97),
                        (11,10,6,21,6,26),
                        (12,423,45,160,45,200),
                        (13,27,11,39,11,48),
                        (14,11,6,21,6,26),
                        (15,137,26,92,26,115),
                        (16,0,0,0,0,0),
                        (17,0,0,0,0,0),
                        (18,76,19,68,19,83),
                        (19,214,32,114,32,141),
                        (20,16,8,28,8,35),
                        (21,13,7,25,7,30),
                        (22,0,0,0,0,0),
                        (23,15,8,28,8,35),
                        (24,17,8,28,8,35),
                        (25,937,68,245,68,298),
                        (26,472,48,173,48,210),
                        (27,4,3,10,3,13),
                        (28,92,21,76,21,91),
                        (29,121,24,87,24,104),
                        (30,1,0,0,0,0),
                        (31,74,19,69,19,82),
                        (32,68,18,65,18,78),
                        (33,2,1,3,1,4),
                        (34,79,19,69,19,82),
                        (35,338,41,150,41,177),
                        (36,2,1,3,1,4),
                        (37,39,13,47,13,56),
                        (38,481,48,176,48,207),
                        (39,31,12,44,12,51),
                        (40,34,12,44,12,51),
                        (41,55,16,59,16,68),
                        (42,8,5,18,5,21),
                        (43,4,3,11,3,12),
                        (44,122,24,88,24,103),
                        (45,55,16,59,16,68),
                        (46,127,25,92,25,107),
                        (47,44,14,52,14,59),
                        (48,65,17,63,17,72),
                        (49,11,6,22,6,25),
                        (50,1,0,0,0,0),
                        (51,11,6,22,6,25),
                        (52,303,38,142,38,161),
                        (53,17,8,29,8,34),
                        (54,14,7,26,7,29),
                        (55,17,8,30,8,33),
                        (56,3,2,7,2,8),
                        (57,42,14,52,14,59),
                        (58,90,21,79,21,88),
                        (59,16,8,30,8,33),
                        (60,13,7,26,7,29),
                        (61,31,12,45,12,50),
                        (62,46,14,53,14,58),
                        (63,43,14,53,14,58),
                        (64,63,17,64,17,71),
                        (65,20,9,34,9,37),
                        (66,33,12,45,12,50),
                        (67,9,6,22,6,25),
                        (68,12,7,26,7,29),
                        (69,31,12,45,12,50),
                        (70,128,25,95,25,104),
                        (71,30,11,42,11,45),
                        (72,763,61,233,61,254),
                        (73,31,12,46,12,49),
                        (74,70,18,69,18,74),
                        (75,27,11,42,11,45),
                        (76,95,21,80,21,87),
                        (77,100,22,84,22,91),
                        (78,659,57,220,57,235),
                        (79,295,38,146,38,157),
                        (80,10,6,23,6,24),
                        (81,2,1,3,1,4),
                        (82,1,0,0,0,0),
